Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
iSBio179	52.90777778	7.859166667	33.25	10.58750343	719.5200195	3.2	6.4	90.4	3.031993115	1.705191	0.071712	23.77832162	5.674671241
iSBio182	53.17777778	9.859166667	93.75	10.24584389	741.2750244	3.5	6.1	90.4	3.227824751	1.74773	0.098749	17.69871087	7.947956442
iSBio184	51.3741667	11.7358333	171.5	10.62499428	458.8399963	28.2	58.3	13.7	6.959531685	4.376939	0.394867	11.08459051	5.517922664
iSBio186	51.6044444	11.7208333	99	10.89165688	415.1949921	26.55	59.9	14.05	7.297867719	3.365892	0.244455	13.76896361	3.314285714
iSBio191	51.8388889	11.0575	151.75	10.19584084	509.269989	27.2	59.05	14.3	4.936949248	4.060245	0.328778	12.34950331	2.030384779
iSBio193	52.0772222	11.4427778	99.25	10.55416298	476.3549957	24	64.8	11	7.095196292	5.331582	0.431916	12.34402523	6.231369766
iSBio197	50.972	10.405	319.5	9.720819473	582.5549927	26.4	54.7	19.5	6.409130541	7.658974	0.729575	10.49785697	18.60655738
iSBio199	51.001	10.43	306.5	9.837503433	615.4649963	25	54.55	19.55	7.323258665	5.567488	0.466426	11.93648725	17.87878788
iSBio202	50.998	10.433	308	9.92083168	599.1049957	25	54.55	20.05	6.58	5.685	0.7805	7.283792441	18.77557702
iSBio203	51.113	10.436	312	9.841669083	669.7150116	22.5	61.65	15.65	6.482837225	8.745105	0.819907	10.66597187	19.30660532
iSBio206	51.216	10.323	395	8.86249733	744.0699768	30.35	55.45	14.15	7.264751156	5.221059	0.43824	11.91369797	19.39563147
iSBio208	51.215	10.391	317	9.666666031	605.4100037	21.6	53	24.8	6.297747778	4.005043	0.385867	10.37933537	14.15359207
iSBio209	51.274	10.41	313	9.720834732	547.2399902	26.4	53.2	20	6.896037955	7.173882	0.703105	10.20314462	16.60033167
iSBio211	51.271	10.418	312.5	9.745828629	547.3399963	25.6	52.5	22	7.02	7.665871	0.703067	10.9034715	18.56029192
iSBio213	51.224	10.381	326.5	9.583337784	608.1349945	24.1	48.55	27.35	7.161993115	7.419934	0.529508	14.01288366	16.82837069
iSBio215	51.275	10.447	323.25	9.504159927	581.6450195	28.5	51.25	19.85	6.205778756	5.215638	0.459948	11.33962535	17.88550629
iSBio217	51.281	10.456	339	9.445825577	587.8050079	30.75	52.25	17.3	7.095196292	7.221493	0.596532	12.10579315	20.17440885
iSBio219	51.221	10.371	336.5	9.516656876	628.1249847	27.7	54.1	17.6	5.385196292	3.906357	0.342643	11.40066191	10.93090049
iSBio221	51.191	10.753	305.75	9.762506485	561.7150116	27.8	57.2	14.8	7.158600172	4.413556	0.369043	11.95946272	12.34567901
iSBio223	51.282	10.372	338	9.433343887	582.5250092	26.3	49.4	23.5	7.185359755	5.416059	0.479421	11.29708336	17.85171424
iSBio225	51.086	10.597	285.75	10.07499123	568.9349976	23.8	55.4	20.4	7.010003372	6.133657	0.537306	11.41557511	14.7106632
iSBio227	51.202	10.36	363.25	9.291666031	686.2899933	31.7	49.9	18.5	6.87494035	5.251718	0.526646	9.972007762	17.72363151
iSBio230	51.032	10.514	318	9.750009537	688.6400146	32.3	52	15.2	6.840963119	7.146073	0.628016	11.37880723	18.21666667
iSBio232	50.967	10.447	325.25	9.958337784	591.6350098	29.65	49.5	20.7	6.355196292	7.390891	0.711845	10.38272517	19.78132885
